time,temp,hum,wind,power,cw_temp,chw_temp,pax,status,fan_freq,pump_freq,day_of_week
390,26,49,2.4,46782.5,32.42,7.16,836.0,1,37.5,41.81,1
395,26,49,2.18,48227.2,32.36,7.25,859.0,1,38.25,41.93,1
400,26,50,2.52,49166.07,32.51,7.18,881.0,1,38.59,42.01,1
405,26,50,2.18,50210.49,32.55,7.22,904.0,1,38.83,42.09,1
410,26,50,2.16,51769.17,32.57,7.19,927.0,1,40.1,42.19,1
415,26,50,2.66,52747.24,32.67,7.27,950.0,1,39.22,42.57,1
420,26,51,2.54,53353.84,32.61,7.16,973.0,1,39.83,42.49,1
425,26,51,2.58,54624.17,32.71,7.19,996.0,1,40.76,42.92,1
430,26,51,2.55,55564.94,32.69,7.19,1020.0,1,40.66,43.16,1
435,26,52,2.63,57240.8,32.85,7.18,1044.0,1,39.81,42.98,1
440,27,52,2.71,58415.38,32.95,7.23,1068.0,1,40.41,43.3,1
445,27,52,2.98,59562.18,33.12,7.19,1092.0,1,41.32,43.6,1
450,27,53,3.01,60680.35,33.13,7.21,1116.0,1,42.08,43.37,1
455,27,53,3.17,62237.76,33.15,7.25,1140.0,1,42.07,43.57,1
460,27,53,3.07,62851.41,33.28,7.19,1164.0,1,41.34,43.62,1
465,27,54,3.34,64470.4,33.18,7.18,1188.0,1,42.19,44.06,1
470,27,54,3.04,65585.54,33.25,7.31,1213.0,1,42.71,44.73,1
475,27,54,2.87,66686.63,33.24,7.27,1237.0,1,41.57,44.55,1
480,27,55,3.06,68425.16,33.55,7.3,1261.0,1,42.09,44.88,1
485,27,55,3.35,69224.55,33.67,7.27,1285.0,1,43.46,44.95,1
490,28,56,3.49,70174.87,33.57,7.36,1309.0,1,42.65,45.42,1
495,28,56,3.1,71529.46,33.55,7.2,1333.0,1,42.77,45.16,1
500,28,56,3.24,72744.14,33.71,7.27,1357.0,1,44.42,45.32,1
505,28,57,3.72,74195.27,33.54,7.28,1381.0,1,43.25,45.42,1
510,28,57,3.39,75462.61,33.83,7.28,1405.0,1,43.72,45.71,1
515,28,58,3.66,76351.7,33.88,7.3,1428.0,1,44.07,46.28,1
520,28,58,3.71,77929.86,33.98,7.24,1452.0,1,44.59,45.9,1
525,28,58,3.28,78675.96,33.84,7.27,1475.0,1,44.88,46.21,1
530,29,59,3.9,79746.13,34.09,7.35,1498.0,1,44.97,46.54,1
535,29,59,3.61,81121.52,33.98,7.31,1520.0,1,44.61,46.47,1
540,29,60,3.76,82100.78,34.26,7.33,1543.0,1,45.35,46.6,1
545,29,60,4.01,83650.14,34.23,7.41,1565.0,1,45.49,46.74,1
550,29,61,3.89,84449.68,34.24,7.3,1587.0,1,44.81,47.16,1
555,29,61,3.92,85410.42,34.37,7.33,1608.0,1,45.82,46.81,1
560,29,61,4.12,86293.64,34.31,7.21,1629.0,1,46.48,47.35,1
565,29,62,3.84,87790.11,34.28,7.35,1650.0,1,46.58,47.66,1
570,29,62,4.01,88912.4,34.33,7.26,1670.0,1,46.26,47.62,1
575,30,63,4.04,89536.39,34.44,7.43,1690.0,1,47.3,47.7,1
580,30,63,4.01,90420.64,34.38,7.35,1709.0,1,47.68,48.32,1
585,30,63,4.16,91559.24,34.46,7.25,1728.0,1,46.92,48.26,1
590,30,64,4.4,92442.66,34.54,7.3,1747.0,1,47.34,47.62,1
595,30,64,4.3,92559.08,34.72,7.36,1764.0,1,47.52,48.16,1
600,30,65,4.33,93873.79,34.78,7.27,1782.0,1,48.1,48.19,1
605,30,65,4.21,94640.13,34.72,7.35,1799.0,1,47.63,49.19,1
610,30,65,4.82,95915.93,34.81,7.47,1815.0,1,48.29,49.61,1
615,30,66,3.96,96316.67,34.88,7.23,1831.0,1,48.91,48.56,1
620,30,66,4.58,97419.08,34.91,7.47,1846.0,1,48.91,49.34,1
625,31,66,4.34,98228.99,35.08,7.49,1860.0,1,49.82,48.75,1
630,31,67,4.32,98569.0,34.98,7.38,1874.0,1,48.26,49.18,1
635,31,67,4.64,98793.69,34.85,7.28,1887.0,1,49.24,48.7,1
640,31,67,5.15,99814.93,34.99,7.4,1900.0,1,49.75,49.11,1
645,31,67,4.45,100630.44,35.19,7.4,1911.0,1,48.61,49.32,1
650,31,68,4.52,101170.39,35.05,7.46,1923.0,1,49.0,49.05,1
655,31,68,4.86,101453.39,35.17,7.38,1933.0,1,49.62,49.64,1
660,31,68,4.69,102035.87,35.2,7.36,1943.0,1,48.63,49.28,1
665,31,68,4.84,102573.67,35.24,7.36,1952.0,1,49.24,49.79,1
670,31,69,5.0,102814.59,35.14,7.47,1960.0,1,49.48,49.46,1
675,31,69,4.95,103142.21,35.2,7.33,1967.0,1,49.86,50.04,1
680,31,69,5.21,103900.67,35.06,7.42,1974.0,1,51.44,49.73,1
685,31,69,5.41,104344.66,35.24,7.34,1980.0,1,49.57,49.53,1
690,31,69,4.9,104273.05,35.22,7.44,1985.0,1,49.7,50.13,1
695,31,69,5.17,104763.5,35.32,7.35,1990.0,1,49.13,50.15,1
700,31,69,5.04,104476.58,35.22,7.46,1993.0,1,49.45,50.04,1
705,31,69,5.12,104912.24,35.3,7.37,1996.0,1,50.94,49.72,1
710,31,69,4.84,104935.09,35.23,7.32,1998.0,1,50.15,49.64,1
715,31,69,5.07,105382.93,35.1,7.43,1999.0,1,50.38,50.33,1
720,32,70,4.62,105307.08,35.1,7.4,2000.0,1,50.17,49.69,1
725,31,69,4.9,104702.22,35.36,7.3,1999.0,1,50.61,50.08,1
730,31,69,4.81,105048.77,35.25,7.39,1998.0,1,49.71,50.2,1
735,31,69,4.73,104552.99,35.48,7.24,1996.0,1,50.29,50.11,1
740,31,69,4.81,104704.82,35.24,7.45,1993.0,1,49.75,50.01,1
745,31,69,5.03,104736.61,35.29,7.48,1990.0,1,49.17,49.62,1
750,31,69,4.98,104246.4,35.19,7.4,1985.0,1,49.23,49.73,1
755,31,69,4.88,104169.7,35.23,7.34,1980.0,1,49.35,49.91,1
760,31,69,4.93,103782.31,35.27,7.37,1974.0,1,49.17,49.5,1
765,31,69,4.84,103658.52,35.32,7.44,1967.0,1,50.28,49.63,1
770,31,69,4.71,102873.82,35.14,7.5,1960.0,1,50.19,49.44,1
775,31,68,4.7,102622.11,35.11,7.44,1952.0,1,49.31,50.12,1
780,31,68,4.71,102160.63,35.06,7.34,1943.0,1,49.36,49.69,1
785,31,68,4.89,101581.2,34.96,7.35,1933.0,1,50.09,49.68,1
790,31,68,4.81,101072.74,35.06,7.37,1923.0,1,49.5,49.46,1
795,31,67,4.71,100511.02,35.0,7.32,1911.0,1,49.26,48.95,1
800,31,67,4.73,100149.39,35.01,7.37,1900.0,1,48.32,49.45,1
805,31,67,4.34,99209.47,35.12,7.35,1887.0,1,48.57,49.18,1
810,31,67,4.79,98759.15,34.92,7.37,1874.0,1,48.69,48.99,1
815,31,66,4.99,98139.53,34.81,7.43,1860.0,1,49.37,48.65,1
820,30,66,4.86,97251.61,34.81,7.43,1846.0,1,48.45,48.52,1
825,30,66,4.64,96943.67,34.67,7.4,1831.0,1,47.63,48.88,1
830,30,65,4.26,96013.13,34.81,7.3,1815.0,1,48.33,48.75,1
835,30,65,4.29,94913.72,34.77,7.24,1799.0,1,48.51,48.51,1
840,30,65,4.39,94105.54,34.53,7.24,1782.0,1,46.97,48.62,1
845,30,64,3.96,93184.56,34.5,7.26,1764.0,1,48.33,48.89,1
850,30,64,3.83,91907.14,34.59,7.34,1747.0,1,48.23,47.65,1
855,30,63,3.98,91465.49,34.71,7.35,1728.0,1,47.31,48.31,1
860,30,63,4.4,90136.93,34.41,7.24,1709.0,1,47.09,47.41,1
865,30,63,4.13,89521.79,34.43,7.36,1690.0,1,46.62,47.54,1
870,29,62,4.31,88459.1,34.55,7.31,1670.0,1,46.64,47.48,1
875,29,62,4.2,87597.12,34.3,7.37,1650.0,1,46.6,47.46,1
880,29,61,3.89,86772.0,34.43,7.4,1629.0,1,45.83,47.21,1
885,29,61,3.57,85655.03,34.31,7.3,1608.0,1,45.61,47.42,1
890,29,61,3.82,84530.65,34.18,7.38,1587.0,1,45.61,47.26,1
895,29,60,3.88,83083.03,34.15,7.35,1565.0,1,45.56,46.03,1
900,29,60,3.53,82163.84,34.15,7.33,1543.0,1,45.65,46.82,1
905,29,59,3.86,81019.89,34.39,7.29,1520.0,1,45.02,46.61,1
910,29,59,3.64,79959.65,34.12,7.33,1498.0,1,44.55,46.32,1
915,28,58,3.57,78753.39,33.83,7.3,1475.0,1,45.06,46.19,1
920,28,58,3.74,77628.49,33.92,7.27,1452.0,1,44.66,46.15,1
925,28,58,3.52,76363.84,33.83,7.32,1428.0,1,43.12,45.78,1
930,28,57,3.39,75087.96,33.66,7.29,1405.0,1,43.73,46.16,1
935,28,57,3.51,73612.31,33.72,7.28,1381.0,1,44.31,45.22,1
940,28,56,3.64,72933.92,33.68,7.27,1357.0,1,43.19,45.74,1
945,28,56,3.28,71510.19,33.51,7.26,1333.0,1,43.2,44.61,1
950,28,56,3.08,70666.64,33.27,7.28,1309.0,1,44.08,45.23,1
955,27,55,3.26,69218.92,33.37,7.29,1285.0,1,42.5,44.91,1
960,27,55,3.27,68060.58,33.39,7.28,1261.0,1,43.13,45.08,1
965,27,54,3.54,66971.05,33.29,7.27,1237.0,1,42.32,44.3,1
970,27,54,3.47,65746.88,33.3,7.26,1213.0,1,41.97,44.17,1
975,27,54,2.74,64298.69,33.15,7.21,1188.0,1,42.24,43.44,1
980,27,53,3.16,63106.04,33.09,7.24,1164.0,1,41.21,43.71,1
985,27,53,3.09,62271.88,33.23,7.26,1140.0,1,42.45,43.55,1
990,27,53,2.71,60959.76,32.85,7.19,1116.0,1,40.32,43.99,1
995,27,52,2.87,59689.85,33.05,7.24,1092.0,1,40.87,43.48,1
1000,27,52,2.53,58164.34,32.84,7.24,1068.0,1,40.56,43.59,1
1005,26,52,3.09,56994.21,32.75,7.24,1044.0,1,39.92,42.89,1
1010,26,51,2.81,56061.17,32.95,7.2,1020.0,1,39.69,42.61,1
1015,26,51,2.8,54901.75,32.7,7.27,996.0,1,39.83,43.2,1
1020,26,51,2.86,53886.04,32.7,7.16,973.0,1,39.16,42.55,1
1025,26,50,2.98,52646.59,32.73,7.22,950.0,1,39.69,42.79,1
1030,26,50,2.88,51257.53,32.48,7.24,927.0,1,39.24,42.2,1
1035,26,50,2.59,50520.1,32.65,7.18,904.0,1,39.06,42.27,1
1040,26,50,2.4,49015.14,32.37,7.11,881.0,1,38.91,42.01,1
1045,26,49,2.58,48050.08,32.37,7.17,859.0,1,38.64,41.94,1
1050,26,49,2.74,46722.49,32.35,7.13,836.0,1,37.73,41.43,1
1055,26,49,2.79,45816.78,32.24,7.19,814.0,1,38.31,41.55,1
1060,26,49,2.21,44770.43,32.43,7.14,793.0,1,38.51,41.81,1
1065,26,48,2.74,43520.66,32.16,7.18,771.0,1,37.96,41.32,1
1070,26,48,2.48,42486.24,31.98,7.11,750.0,1,37.38,41.35,1
1075,26,48,2.36,41102.4,32.12,7.07,729.0,1,36.5,40.92,1
1080,25,48,2.39,40545.38,32.01,7.19,709.0,1,37.5,40.97,1
1085,25,48,2.3,39326.99,31.99,7.14,688.0,1,37.06,40.84,1
1090,25,48,2.51,38497.99,31.85,7.11,668.0,1,35.93,41.07,1
1095,25,47,2.7,37494.56,31.83,7.13,649.0,1,36.99,40.15,1
1100,25,47,1.97,36618.39,31.79,7.09,629.0,1,35.91,40.78,1
1105,25,47,2.5,35220.21,31.73,7.13,611.0,1,36.15,39.42,1
1110,25,47,2.23,34691.71,31.69,7.08,592.0,1,36.66,39.47,1
1115,25,47,2.39,34169.11,31.79,7.14,574.0,1,35.41,39.68,1
1120,25,47,2.18,32483.45,31.75,7.2,556.0,1,36.1,39.99,1
1125,25,46,2.09,31940.05,31.48,7.1,538.0,1,35.15,39.16,1
1130,25,46,2.11,31087.73,31.39,7.11,521.0,1,35.04,39.2,1
1135,25,46,2.5,29973.55,31.5,7.13,504.0,1,35.08,39.01,1
1140,25,46,2.27,29335.22,31.42,7.13,487.0,1,34.76,39.06,1
1145,25,46,2.27,28630.23,31.48,7.1,471.0,1,34.67,38.92,1
1150,25,46,2.35,27659.51,31.43,7.19,455.0,1,34.39,39.31,1
1155,25,46,2.17,26985.77,31.41,7.03,440.0,1,34.05,38.59,1
1160,25,46,1.97,26177.08,31.15,7.17,425.0,1,34.84,38.76,1
1165,25,46,2.19,25410.6,31.28,7.13,410.0,1,34.11,38.55,1
1170,25,46,2.14,24610.48,31.17,7.12,395.0,1,33.75,38.71,1
1175,25,46,1.81,23948.54,31.35,7.1,381.0,1,33.91,38.64,1
1180,25,45,2.02,23266.87,31.11,7.12,368.0,1,32.88,38.91,1
1185,25,45,2.3,22935.2,30.98,7.1,354.0,1,33.39,38.24,1
1190,25,45,2.14,21915.92,31.15,7.03,341.0,1,33.4,38.17,1
1195,25,45,2.18,21612.59,31.09,7.11,328.0,1,32.84,38.45,1
1200,25,45,2.19,20766.73,31.01,7.02,316.0,1,33.43,37.54,1
1205,25,45,2.21,19995.88,30.96,7.09,304.0,1,32.97,37.87,1
1210,25,45,2.07,19591.41,30.95,7.12,292.0,1,32.91,37.85,1
1215,25,45,2.17,19116.0,30.96,7.07,281.0,1,32.87,37.85,1
1220,25,45,2.1,18294.86,31.04,7.08,270.0,1,32.22,37.6,1
1225,25,45,2.16,17833.02,30.96,7.12,260.0,1,32.23,37.29,1
1230,25,45,2.19,17451.65,30.9,7.13,249.0,1,32.39,37.32,1
1235,25,45,1.95,16741.67,31.09,7.02,239.0,1,33.02,37.68,1
1240,25,45,2.12,16250.87,30.89,7.04,229.0,1,32.19,37.41,1
1245,25,45,2.02,15982.22,30.75,7.03,220.0,1,32.73,37.24,1
1250,25,45,1.83,15521.91,30.92,7.02,211.0,1,31.75,36.69,1
1255,25,45,1.61,14814.8,30.77,7.03,202.0,1,32.52,36.64,1
1260,25,45,1.8,14630.52,30.55,7.07,194.0,1,31.57,37.01,1
1265,25,45,1.88,14252.2,30.72,7.06,185.0,1,31.27,37.4,1
1270,25,45,1.81,13815.0,30.78,7.08,177.0,1,31.61,36.83,1
1275,25,45,2.48,13709.92,30.75,7.07,170.0,1,32.11,36.83,1
1280,25,45,2.45,13608.53,30.85,7.09,162.0,1,31.58,37.16,1
1285,25,45,1.67,12919.52,30.58,6.97,155.0,1,32.28,36.82,1
1290,25,45,2.31,12035.06,30.69,7.02,148.0,1,32.08,36.92,1
1295,25,45,2.22,11846.6,30.62,7.07,142.0,1,31.79,36.43,1
1300,25,45,2.05,11640.27,30.73,7.01,135.0,1,31.5,36.71,1
1305,25,45,1.8,11686.06,30.52,7.12,129.0,1,30.68,36.09,1
1310,25,45,1.83,10857.25,30.41,6.99,123.0,1,31.47,36.66,1
1315,25,45,1.63,10996.37,30.72,7.1,117.0,1,30.7,36.51,1
1320,25,45,1.71,10366.4,30.5,7.17,112.0,1,31.71,36.29,1
1325,25,45,1.86,10565.75,30.64,7.03,106.0,1,30.66,36.8,1
1330,25,45,2.01,10077.17,30.56,7.07,101.0,1,30.78,36.16,1
1335,25,45,2.03,9871.19,30.58,7.05,97.0,0,0.0,0.0,1
1340,25,45,2.4,9714.61,30.38,7.03,92.0,0,0.0,0.0,1
1345,25,45,1.74,9608.87,30.46,6.99,87.0,0,0.0,0.0,1
1350,25,45,2.05,9149.84,30.63,7.05,83.0,0,0.0,0.0,1
1355,25,45,1.65,8782.35,30.48,6.96,79.0,0,0.0,0.0,1
1360,25,45,2.02,9013.68,30.5,7.08,75.0,0,0.0,0.0,1
1365,25,45,2.5,8810.4,30.46,7.03,71.0,0,0.0,0.0,1
1370,25,45,1.83,8509.99,30.37,6.95,68.0,0,0.0,0.0,1
1375,25,45,1.93,8194.11,30.37,7.07,64.0,0,0.0,0.0,1
1380,25,45,1.83,8031.89,30.31,6.98,61.0,0,0.0,0.0,1
1385,25,45,1.92,7941.95,30.39,7.07,58.0,0,0.0,0.0,1
1390,25,45,2.23,7319.99,30.37,7.02,55.0,0,0.0,0.0,1
1395,25,45,1.93,7840.43,30.3,7.06,52.0,0,0.0,0.0,1
1400,25,45,2.34,7175.19,30.36,7.04,49.0,0,0.0,0.0,1
1405,25,45,1.9,7598.12,30.19,6.95,46.0,0,0.0,0.0,1
1410,25,45,2.11,7522.27,30.37,7.0,44.0,0,0.0,0.0,1
1415,25,45,2.15,7258.98,30.38,6.99,41.0,0,0.0,0.0,1
1420,25,45,2.15,7168.32,30.34,7.05,39.0,0,0.0,0.0,1
1425,25,45,2.15,6670.02,30.11,7.08,37.0,0,0.0,0.0,1
1430,25,45,2.01,7324.61,30.22,7.03,35.0,0,0.0,0.0,1
1435,25,45,1.79,6764.98,30.46,7.02,33.0,0,0.0,0.0,1
0,25,45,1.85,6613.22,30.34,7.1,31.0,0,0.0,0.0,2
5,25,45,2.04,7052.68,30.34,7.0,33.0,0,0.0,0.0,2
10,25,45,1.99,6468.79,30.28,7.04,35.0,0,0.0,0.0,2
15,25,45,1.74,6832.93,30.22,7.02,37.0,0,0.0,0.0,2
20,25,45,1.78,6696.42,30.4,7.08,39.0,0,0.0,0.0,2
25,25,45,1.94,6987.53,30.43,7.06,41.0,0,0.0,0.0,2
30,25,45,2.0,7354.3,30.27,7.03,44.0,0,0.0,0.0,2
35,25,45,1.49,7140.53,30.14,7.01,46.0,0,0.0,0.0,2
40,25,45,1.85,7382.84,30.39,7.01,49.0,0,0.0,0.0,2
45,25,45,1.89,7918.12,30.37,7.08,52.0,0,0.0,0.0,2
50,25,45,2.07,7644.65,30.34,6.98,55.0,0,0.0,0.0,2
55,25,45,1.5,7742.69,30.37,7.07,58.0,0,0.0,0.0,2
60,25,45,2.06,8261.91,30.62,7.01,61.0,0,0.0,0.0,2
65,25,45,2.21,8187.92,30.53,6.97,64.0,0,0.0,0.0,2
70,25,45,2.03,8177.62,30.54,7.01,68.0,0,0.0,0.0,2
75,25,45,1.86,8442.12,30.36,6.99,71.0,0,0.0,0.0,2
80,25,45,2.11,8861.9,30.4,7.07,75.0,0,0.0,0.0,2
85,25,45,2.2,9182.65,30.5,7.06,79.0,0,0.0,0.0,2
90,25,45,2.08,9427.11,30.49,7.05,83.0,0,0.0,0.0,2
95,25,45,2.17,9441.16,30.66,7.04,87.0,0,0.0,0.0,2
100,25,45,1.98,9356.67,30.42,7.1,92.0,0,0.0,0.0,2
105,25,45,2.2,10206.53,30.54,7.07,97.0,0,0.0,0.0,2
110,25,45,2.03,10208.52,30.42,7.05,101.0,1,30.19,36.57,2
115,25,45,2.19,10358.58,30.48,7.1,106.0,1,31.61,36.79,2
120,25,45,1.97,10603.16,30.51,7.13,112.0,1,32.11,37.03,2
125,25,45,1.47,10858.61,30.52,7.02,117.0,1,31.63,37.22,2
130,25,45,1.92,10704.19,30.45,7.04,123.0,1,31.52,36.08,2
135,25,45,2.12,11375.63,30.57,7.05,129.0,1,31.13,36.36,2
140,25,45,2.11,11976.76,30.56,6.98,135.0,1,32.44,37.13,2
145,25,45,2.22,11737.88,30.7,6.97,142.0,1,31.59,37.16,2
150,25,45,2.27,12504.23,30.67,6.99,148.0,1,32.08,36.61,2
155,25,45,2.04,12914.42,30.7,7.11,155.0,1,31.48,36.69,2
160,25,45,1.85,13143.93,30.7,6.99,162.0,1,31.28,36.91,2
165,25,45,1.82,13542.72,30.75,7.11,170.0,1,31.24,36.58,2
170,25,45,2.12,13583.54,30.9,7.0,177.0,1,32.32,37.26,2
175,25,45,1.41,14593.89,30.88,7.12,185.0,1,31.12,36.98,2
180,25,45,2.0,14702.02,30.76,7.12,194.0,1,32.19,36.95,2
185,25,45,2.18,15409.46,30.8,7.03,202.0,1,31.85,36.86,2
190,25,45,2.52,15376.66,30.82,7.03,211.0,1,32.55,37.38,2
195,25,45,1.88,16253.7,30.83,7.01,220.0,1,32.4,36.94,2
200,25,45,2.01,16575.55,30.79,7.12,229.0,1,32.65,36.99,2
205,25,45,1.71,16976.38,30.87,7.03,239.0,1,32.26,37.0,2
210,25,45,2.26,17229.97,30.94,7.03,249.0,1,32.55,37.11,2
215,25,45,2.02,17978.63,30.99,7.04,260.0,1,31.76,37.48,2
220,25,45,2.1,18576.42,31.0,7.09,270.0,1,31.4,37.62,2
225,25,45,2.25,19063.02,30.93,7.05,281.0,1,31.95,37.98,2
230,25,45,1.98,19989.91,31.16,7.09,292.0,1,33.69,37.41,2
235,25,45,1.79,20033.73,30.81,7.02,304.0,1,33.92,38.15,2
240,25,45,2.04,20658.2,31.05,6.99,316.0,1,34.08,37.79,2
245,25,45,2.27,21350.46,31.11,7.13,328.0,1,33.27,37.69,2
250,25,45,2.23,21889.6,31.05,7.05,341.0,1,33.34,38.12,2
255,25,45,1.92,22575.03,31.04,7.12,354.0,1,32.75,38.04,2
260,25,45,2.13,23409.36,31.32,7.15,368.0,1,34.42,37.79,2
265,25,46,2.19,23936.73,30.84,7.07,381.0,1,33.33,38.53,2
270,25,46,2.18,24792.01,31.36,7.12,395.0,1,32.99,38.01,2
275,25,46,2.27,25577.1,31.26,7.09,410.0,1,34.45,38.58,2
280,25,46,1.79,26368.9,31.16,7.08,425.0,1,34.7,39.09,2
285,25,46,2.33,26881.84,31.42,7.17,440.0,1,33.7,38.97,2
290,25,46,2.29,27936.3,31.23,7.18,455.0,1,34.39,39.1,2
295,25,46,2.51,28428.19,31.41,7.18,471.0,1,34.59,39.47,2
300,25,46,2.36,29624.77,31.63,7.09,487.0,1,35.15,39.24,2
305,25,46,2.1,30152.53,31.31,7.08,504.0,1,35.48,39.18,2
310,25,46,2.23,31069.92,31.59,7.05,521.0,1,35.33,39.88,2
