time,temp,hum,wind,power,cw_temp,chw_temp,pax,status,fan_freq,pump_freq
260,25,45,2.18,23521.9,31.29,7.08,368,1,34.01,38.6
265,25,46,1.92,24072.58,31.08,7.11,381,1,33.35,38.65
270,25,46,2.11,24736.85,31.22,7.07,395,1,33.68,38.75
275,25,46,1.84,25473.18,31.09,7.05,410,1,33.5,38.3
280,25,46,2.27,25988.57,31.38,7.12,425,1,34.35,38.0
285,25,46,1.96,27188.37,31.3,7.06,440,1,34.74,38.44
290,25,46,2.3,27518.84,31.36,7.16,455,1,33.71,38.69
295,25,46,2.11,28699.67,31.51,7.17,471,1,34.57,38.61
300,25,46,2.52,29439.51,31.57,7.02,487,1,35.88,38.92
305,25,46,2.4,30189.27,31.45,7.08,504,1,34.34,39.15
310,25,46,2.22,31201.22,31.51,7.1,521,1,35.29,39.4
315,25,46,2.18,31987.41,31.55,7.12,538,1,34.61,39.55
320,25,47,2.37,32704.05,31.43,7.14,556,1,35.9,39.6
325,25,47,2.28,33603.01,31.66,7.05,574,1,35.42,39.35
330,25,47,2.24,34314.16,31.77,7.09,592,1,35.49,39.76
335,25,47,2.43,35694.35,31.73,7.07,611,1,36.06,40.38
340,25,47,2.54,36277.02,31.83,7.09,629,1,36.08,39.5
345,25,47,2.52,37386.58,31.65,7.14,649,1,37.66,40.35
350,25,48,2.54,38520.47,31.95,7.06,668,1,36.5,40.25
355,25,48,2.07,39460.72,32.06,7.22,688,1,37.44,40.24
360,25,48,2.58,40655.45,31.95,7.19,709,1,37.49,40.67
365,26,48,2.48,41598.6,32.19,7.21,729,1,37.69,40.33
370,26,48,2.29,42245.0,32.15,7.18,750,1,38.26,41.42
375,26,48,2.59,43372.88,32.33,7.13,771,1,37.71,41.25
380,26,49,2.57,44683.85,32.11,7.19,793,1,38.43,41.45
385,26,49,2.35,45915.7,32.22,7.18,814,1,38.6,41.03
390,26,49,2.95,47024.61,32.35,7.18,836,1,38.07,42.11
395,26,49,2.7,47838.1,32.27,7.19,859,1,39.36,41.56
400,26,50,2.68,49310.89,32.6,7.15,881,1,38.02,42.57
405,26,50,2.46,50273.53,32.5,7.17,904,1,39.16,42.33
410,26,50,2.84,51484.65,32.5,7.19,927,1,39.39,42.35
415,26,50,2.56,52238.21,32.61,7.2,950,1,39.26,42.31
420,26,51,2.61,53682.22,32.63,7.21,973,1,39.39,42.57
425,26,51,2.68,54766.74,32.83,7.2,996,1,40.46,42.93
430,26,51,2.71,55883.74,32.78,7.19,1020,1,39.98,42.53
435,26,52,2.98,57203.86,32.9,7.24,1044,1,40.95,43.29
440,27,52,2.97,58473.95,33.07,7.26,1068,1,40.94,43.17
445,27,52,2.89,59561.37,32.99,7.22,1092,1,40.85,44.23
450,27,53,2.91,60903.49,32.99,7.26,1116,1,40.65,43.83
455,27,53,3.01,62206.05,33.2,7.32,1140,1,41.06,43.97
460,27,53,2.91,63468.93,33.07,7.22,1164,1,42.13,43.65
465,27,54,3.21,64517.21,33.29,7.26,1188,1,41.44,44.88
470,27,54,3.16,65635.64,33.26,7.22,1213,1,41.18,44.63
475,27,54,3.2,66727.91,33.32,7.27,1237,1,41.79,44.58
480,27,55,3.71,68345.73,33.33,7.16,1261,1,43.36,44.59
485,27,55,3.27,68828.44,33.43,7.2,1285,1,41.76,44.84
490,28,56,3.27,70443.01,33.43,7.2,1309,1,43.69,45.39
495,28,56,3.29,71477.44,33.63,7.18,1333,1,43.71,44.99
500,28,56,3.75,72747.74,33.65,7.24,1357,1,43.86,45.26
505,28,57,3.36,74445.95,33.81,7.31,1381,1,44.03,45.84
510,28,57,3.88,75312.12,33.68,7.33,1405,1,43.61,45.67
515,28,58,3.97,76293.23,33.95,7.27,1428,1,44.59,45.88
520,28,58,3.47,77419.63,33.91,7.37,1452,1,44.16,45.29
525,28,58,3.88,78941.41,33.98,7.22,1475,1,44.92,46.07
530,29,59,3.46,79775.76,33.96,7.22,1498,1,46.02,45.83
535,29,59,3.62,80682.21,33.77,7.27,1520,1,45.15,46.54
540,29,60,3.95,81951.7,34.07,7.33,1543,1,45.24,47.06
545,29,60,3.43,83534.42,34.29,7.39,1565,1,45.4,46.57
550,29,61,3.87,84461.86,34.26,7.34,1587,1,46.12,46.61
555,29,61,4.07,85349.71,34.19,7.4,1608,1,46.32,47.35
560,29,61,4.23,86628.34,34.42,7.24,1629,1,45.22,47.3
565,29,62,4.08,87612.07,34.37,7.41,1650,1,47.19,47.94
570,29,62,4.16,88430.88,34.4,7.41,1670,1,47.17,47.52
575,30,63,3.9,89229.91,34.43,7.37,1690,1,47.91,48.49
580,30,63,4.15,90661.99,34.48,7.42,1709,1,46.51,47.95
585,30,63,4.1,91235.66,34.68,7.36,1728,1,47.64,48.2
590,30,64,3.79,92788.87,34.84,7.39,1747,1,47.93,48.27
595,30,64,4.45,93241.74,34.62,7.38,1764,1,47.86,47.64
600,30,65,4.44,94001.57,34.74,7.27,1782,1,47.86,48.49
605,30,65,4.52,94943.17,34.91,7.36,1799,1,48.93,48.83
610,30,65,4.37,95878.91,34.73,7.31,1815,1,48.18,48.78
615,30,66,4.44,96454.55,34.93,7.37,1831,1,49.09,48.87
620,30,66,4.73,97187.33,34.83,7.38,1846,1,47.83,48.65
625,31,66,4.48,98070.13,34.73,7.35,1860,1,48.81,49.19
630,31,67,4.74,98748.18,34.88,7.41,1874,1,49.02,49.1
635,31,67,4.71,99246.48,34.97,7.41,1887,1,49.35,49.22
640,31,67,4.84,99705.25,35.03,7.45,1900,1,49.24,49.39
645,31,67,4.98,100521.81,35.01,7.46,1911,1,49.85,49.74
650,31,68,4.75,101237.41,35.12,7.41,1923,1,49.88,49.27
655,31,68,4.74,101664.88,35.26,7.4,1933,1,49.43,49.27
660,31,68,5.19,101978.29,35.13,7.43,1943,1,49.27,49.86
665,31,68,5.07,102955.85,35.13,7.4,1952,1,49.82,49.65
670,31,69,4.7,102880.46,35.22,7.43,1960,1,49.66,49.63
675,31,69,4.85,103355.5,35.12,7.42,1967,1,49.25,50.49
680,31,69,5.17,103982.49,34.96,7.39,1974,1,49.22,48.9
685,31,69,5.06,103934.74,35.32,7.33,1980,1,49.19,49.61
690,31,69,4.72,104548.22,35.04,7.45,1985,1,49.57,49.62
695,31,69,5.15,104304.18,35.2,7.39,1990,1,49.62,49.59
700,31,69,4.56,104639.19,35.34,7.41,1993,1,50.23,50.15
705,31,69,5.03,104603.39,35.43,7.37,1996,1,50.02,50.16
710,31,69,5.02,105104.83,35.35,7.29,1998,1,50.35,49.93
715,31,69,4.91,104474.57,35.2,7.46,1999,1,50.11,50.3
720,32,70,4.87,105500.51,35.26,7.45,2000,1,49.17,50.06
725,31,69,4.84,105126.48,35.29,7.37,1999,1,50.68,50.19
730,31,69,5.35,104966.3,35.29,7.37,1998,1,50.03,49.41
735,31,69,5.12,104667.78,35.18,7.34,1996,1,49.87,49.59
740,31,69,5.04,104604.79,35.31,7.39,1993,1,50.01,50.11
745,31,69,4.87,104637.48,35.34,7.31,1990,1,50.46,49.95
750,31,69,5.2,104239.71,35.21,7.39,1985,1,48.98,49.7
755,31,69,5.46,104066.16,35.37,7.32,1980,1,49.85,49.84
760,31,69,5.31,103635.75,35.26,7.33,1974,1,50.18,49.5
765,31,69,4.7,103093.16,35.15,7.39,1967,1,48.47,49.67
770,31,69,5.01,102925.01,35.36,7.44,1960,1,50.31,49.79
775,31,68,4.59,102334.41,35.01,7.34,1952,1,49.22,49.66
780,31,68,5.04,102483.99,35.0,7.44,1943,1,49.0,49.26
785,31,68,4.87,101746.45,35.02,7.37,1933,1,49.41,49.32
790,31,68,5.22,101163.43,35.12,7.31,1923,1,49.88,49.56
795,31,67,4.85,100483.71,35.04,7.42,1911,1,49.38,49.25
800,31,67,4.81,100011.16,35.08,7.44,1900,1,49.13,48.96
805,31,67,4.91,99302.68,35.13,7.37,1887,1,48.35,48.83
810,31,67,4.83,98482.23,34.99,7.34,1874,1,48.25,48.74
815,31,66,4.82,97639.96,34.87,7.41,1860,1,48.91,48.76
820,30,66,4.67,97303.67,34.88,7.38,1846,1,47.67,48.93
825,30,66,4.75,96360.31,34.68,7.37,1831,1,48.31,48.59
830,30,65,4.72,95951.12,34.74,7.3,1815,1,47.57,48.39
835,30,65,4.4,95583.94,34.88,7.3,1799,1,46.85,49.31
840,30,65,4.3,93793.79,34.71,7.36,1782,1,47.65,48.36
845,30,64,4.55,93551.27,34.78,7.35,1764,1,48.44,48.79
850,30,64,4.27,92329.15,34.71,7.41,1747,1,47.33,48.53
855,30,63,4.58,91153.8,34.81,7.41,1728,1,46.76,47.75
860,30,63,4.4,90609.32,34.43,7.38,1709,1,47.37,47.74
865,30,63,4.18,89515.3,34.52,7.39,1690,1,46.9,47.79
870,29,62,4.26,88399.47,34.35,7.36,1670,1,46.48,47.68
875,29,62,4.18,87276.58,34.43,7.34,1650,1,45.93,47.73
880,29,61,3.96,86603.06,34.58,7.25,1629,1,46.1,47.07
885,29,61,3.84,85394.26,34.27,7.38,1608,1,46.57,47.16
890,29,61,4.34,84424.37,34.32,7.31,1587,1,45.57,47.03
895,29,60,3.41,83628.62,34.15,7.37,1565,1,44.5,46.82
900,29,60,3.34,82287.35,34.12,7.41,1543,1,45.39,46.96
905,29,59,3.86,80831.4,34.08,7.27,1520,1,45.81,45.88
910,29,59,3.89,79848.29,33.98,7.21,1498,1,44.68,46.76
915,28,58,3.69,78586.53,34.05,7.26,1475,1,44.74,45.94
920,28,58,3.44,77777.14,34.03,7.3,1452,1,44.88,46.6
925,28,58,3.75,76153.46,33.73,7.26,1428,1,44.42,45.45
930,28,57,3.47,75617.56,33.79,7.29,1405,1,44.19,45.93
935,28,57,3.59,74092.91,33.75,7.26,1381,1,43.56,45.46
940,28,56,3.21,72764.11,33.53,7.37,1357,1,42.77,45.86
945,28,56,3.39,71969.95,33.51,7.25,1333,1,43.25,45.1
950,28,56,3.21,70686.7,33.65,7.32,1309,1,43.44,44.51
955,27,55,3.26,69152.6,33.68,7.27,1285,1,43.14,45.36
960,27,55,3.34,68090.93,33.35,7.36,1261,1,42.7,44.17
965,27,54,2.93,66840.47,33.2,7.24,1237,1,42.3,44.9
970,27,54,2.94,65297.22,33.32,7.3,1213,1,41.76,44.93
975,27,54,2.69,64527.61,33.26,7.26,1188,1,42.82,44.28
980,27,53,3.1,63311.97,33.28,7.27,1164,1,41.8,44.45
985,27,53,2.97,62059.96,32.94,7.34,1140,1,41.74,43.34
990,27,53,3.09,61105.45,33.16,7.2,1116,1,41.1,43.55
995,27,52,3.04,59578.15,33.18,7.15,1092,1,40.31,43.39
1000,27,52,2.96,58794.35,32.86,7.21,1068,1,40.14,43.67
1005,26,52,2.47,57226.43,33.05,7.23,1044,1,40.66,43.24
1010,26,51,2.65,56172.92,32.9,7.24,1020,1,39.86,43.09
1015,26,51,2.89,55057.28,32.72,7.2,996,1,39.75,42.54
1020,26,51,3.0,53121.85,32.77,7.25,973,1,39.53,41.94
1025,26,50,2.93,52612.78,32.71,7.31,950,1,39.37,42.16
1030,26,50,2.6,51442.0,32.48,7.24,927,1,39.93,41.96
1035,26,50,2.39,49963.57,32.44,7.18,904,1,38.95,42.01
1040,26,50,2.49,48888.17,32.42,7.27,881,1,38.81,42.18
1045,26,49,2.47,47832.3,32.33,7.23,859,1,39.24,42.25
1050,26,49,2.55,46567.84,32.23,7.26,836,1,38.93,41.44
1055,26,49,2.51,45329.59,32.24,7.24,814,1,38.34,41.73
1060,26,49,2.23,44676.87,32.17,7.09,793,1,38.77,40.84
1065,26,48,2.29,43706.17,32.11,7.15,771,1,36.98,41.37
1070,26,48,2.43,42343.57,32.15,7.2,750,1,37.68,40.58
1075,26,48,2.21,41444.32,32.22,7.12,729,1,37.89,40.73
1080,25,48,2.35,40287.8,32.01,7.21,709,1,37.25,40.71
1085,25,48,2.4,39348.78,31.95,7.18,688,1,37.09,40.69
1090,25,48,2.21,38009.33,31.88,7.26,668,1,36.65,40.83
1095,25,47,2.21,37636.35,31.79,7.13,649,1,35.81,40.35
1100,25,47,2.55,36409.02,31.98,7.17,629,1,36.95,40.85
1105,25,47,2.38,35570.27,31.87,7.14,611,1,35.6,39.92
1110,25,47,2.22,34932.29,31.82,7.17,592,1,36.72,39.62
1115,25,47,2.31,33551.46,31.49,7.09,574,1,36.87,39.79
1120,25,47,2.39,32749.62,31.63,7.08,556,1,35.56,39.53
1125,25,46,2.15,31429.11,31.43,7.08,538,1,35.22,39.27
1130,25,46,2.28,30902.29,31.55,7.13,521,1,34.94,38.94
1135,25,46,2.16,29747.25,31.38,7.12,504,1,34.3,38.81
1140,25,46,1.85,29690.78,31.59,7.09,487,1,36.19,39.41
1145,25,46,2.24,28301.63,31.46,7.08,471,1,34.27,39.35
1150,25,46,2.17,27987.98,31.28,7.1,455,1,35.13,39.69
1155,25,46,2.32,27060.16,31.32,7.11,440,1,34.03,38.73
1160,25,46,2.28,26073.97,31.31,7.14,425,1,33.95,38.8
1165,25,46,2.38,25290.19,31.28,7.08,410,1,34.21,38.34
1170,25,46,2.32,24737.08,31.29,7.08,395,1,33.82,38.54
1175,25,46,1.8,23954.02,31.17,7.06,381,1,33.92,38.6
1180,25,45,2.19,23170.61,31.22,7.09,368,1,33.76,38.08
1185,25,45,2.1,23062.23,31.25,7.1,354,1,33.81,38.16
1190,25,45,2.17,21911.92,31.42,7.1,341,1,32.75,37.67
1195,25,45,2.28,21228.27,31.28,7.11,328,1,33.64,37.88
1200,25,45,1.86,21004.44,31.16,7.03,316,1,33.76,37.59
1205,25,45,2.15,20138.77,30.85,7.16,304,1,33.4,38.4
1210,25,45,2.2,19890.61,30.89,7.19,292,1,33.48,37.66
1215,25,45,1.88,18874.06,31.1,7.02,281,1,32.33,37.09
1220,25,45,2.03,18710.13,31.15,7.25,270,1,32.82,37.51
1225,25,45,2.05,18317.13,30.87,7.06,260,1,33.12,36.98
1230,25,45,1.83,17243.12,30.92,7.07,249,1,32.76,37.47
1235,25,45,2.3,16549.83,30.91,7.03,239,1,32.52,37.45
1240,25,45,2.22,16071.01,30.78,7.03,229,1,33.29,37.24
1245,25,45,2.16,15683.6,31.01,7.08,220,1,32.56,37.19
1250,25,45,2.21,15940.72,30.79,7.13,211,1,32.15,37.69
1255,25,45,2.03,15219.36,30.77,6.97,202,1,31.94,36.88
1260,25,45,2.09,14578.12,30.77,6.98,194,1,31.79,36.84
1265,25,45,1.91,14427.6,30.63,7.12,185,1,31.73,37.9
1270,25,45,2.14,14023.43,30.79,7.04,177,1,32.4,36.97
1275,25,45,2.19,13243.2,30.54,6.97,170,1,32.53,37.12
1280,25,45,1.99,13447.96,30.58,7.03,162,1,31.52,37.0
1285,25,45,2.22,12914.75,30.57,6.99,155,1,31.12,36.93
1290,25,45,2.05,12704.41,30.62,7.09,148,1,31.36,36.82
1295,25,45,1.85,12199.54,30.59,7.02,142,1,31.48,36.86
1300,25,45,1.83,11880.35,30.64,7.03,135,1,32.04,36.23
1305,25,45,2.04,11407.2,30.55,7.0,129,1,31.58,36.34
1310,25,45,2.0,11278.57,30.46,7.02,123,1,30.52,36.97
1315,25,45,2.04,10781.02,30.59,7.05,117,1,31.51,36.86
1320,25,45,1.72,10448.99,30.5,7.07,112,1,31.0,36.22
1325,25,45,2.35,10394.19,30.57,7.05,106,1,32.21,36.11
1330,25,45,1.93,10070.0,30.52,7.03,101,1,30.25,36.56
1335,25,45,2.06,9772.62,30.53,7.05,97,0,0.0,0.0
1340,25,45,1.84,9427.63,30.37,7.0,92,0,0.0,0.0
1345,25,45,2.02,9526.31,30.64,7.06,87,0,0.0,0.0
1350,25,45,1.61,9323.06,30.47,7.08,83,0,0.0,0.0
1355,25,45,1.92,8963.83,30.37,6.97,79,0,0.0,0.0
1360,25,45,1.95,8878.76,30.47,7.09,75,0,0.0,0.0
1365,25,45,1.96,8243.92,30.62,7.03,71,0,0.0,0.0
1370,25,45,2.4,8102.11,30.37,7.02,68,0,0.0,0.0
1375,25,45,2.17,8388.19,30.37,7.07,64,0,0.0,0.0
1380,25,45,1.98,8027.74,30.49,6.95,61,0,0.0,0.0
1385,25,45,2.05,8199.6,30.42,7.09,58,0,0.0,0.0
1390,25,45,1.64,7747.33,30.4,7.0,55,0,0.0,0.0
1395,25,45,1.96,7492.68,30.34,7.02,52,0,0.0,0.0
1400,25,45,2.26,7357.31,30.39,7.0,49,0,0.0,0.0
1405,25,45,2.01,6906.39,30.37,7.05,46,0,0.0,0.0
1410,25,45,1.86,7430.55,30.43,7.1,44,0,0.0,0.0
1415,25,45,1.96,6920.18,30.44,6.93,41,0,0.0,0.0
1420,25,45,2.0,7122.76,30.38,7.07,39,0,0.0,0.0
1425,25,45,1.71,6992.82,30.52,7.07,37,0,0.0,0.0
1430,25,45,1.83,6628.97,30.29,7.08,35,0,0.0,0.0
1435,25,45,1.94,6494.63,30.39,7.08,33,0,0.0,0.0
0,25,45,1.9,6638.16,30.52,7.01,31,0,0.0,0.0
5,25,45,1.77,6412.84,30.48,7.04,33,0,0.0,0.0
10,25,45,2.26,6789.43,30.43,7.01,35,0,0.0,0.0
15,25,45,1.44,6942.02,30.21,7.01,37,0,0.0,0.0
20,25,45,2.05,6899.03,30.46,6.98,39,0,0.0,0.0
25,25,45,2.27,7267.85,30.15,7.11,41,0,0.0,0.0
30,25,45,2.2,6963.15,30.4,7.07,44,0,0.0,0.0
35,25,45,1.7,7014.79,30.26,7.05,46,0,0.0,0.0
40,25,45,1.74,7668.65,30.34,6.95,49,0,0.0,0.0
45,25,45,1.97,7472.57,30.27,7.0,52,0,0.0,0.0
50,25,45,1.72,7844.19,30.29,7.05,55,0,0.0,0.0
55,25,45,2.28,8028.86,30.45,7.03,58,0,0.0,0.0
60,25,45,1.84,8071.28,30.33,6.99,61,0,0.0,0.0
65,25,45,1.96,7942.51,30.42,7.06,64,0,0.0,0.0
70,25,45,1.75,8576.39,30.37,6.97,68,0,0.0,0.0
75,25,45,2.44,8626.12,30.44,7.03,71,0,0.0,0.0
80,25,45,1.63,8418.78,30.58,7.03,75,0,0.0,0.0
85,25,45,1.86,8909.9,30.32,7.05,79,0,0.0,0.0
90,25,45,2.03,9116.94,30.48,7.05,83,0,0.0,0.0
95,25,45,2.27,9467.64,30.53,6.96,87,0,0.0,0.0
100,25,45,1.95,9780.75,30.42,7.09,92,0,0.0,0.0
105,25,45,2.09,9981.6,30.5,7.13,97,0,0.0,0.0
110,25,45,2.01,9797.29,30.59,6.99,101,1,30.65,36.75
115,25,45,2.0,10315.48,30.58,6.98,106,1,30.95,36.55
120,25,45,1.99,10595.72,30.46,7.04,112,1,31.09,36.41
125,25,45,1.86,10843.11,30.53,7.13,117,1,31.78,36.22
130,25,45,1.81,11359.56,30.51,7.05,123,1,31.44,36.91
135,25,45,1.88,11432.66,30.57,7.1,129,1,30.68,36.93
140,25,45,1.67,11929.53,30.44,7.02,135,1,30.95,37.13
145,25,45,2.07,11884.28,30.6,7.15,142,1,32.21,36.3
150,25,45,2.09,12582.52,30.65,6.99,148,1,31.23,36.69
155,25,45,2.3,13190.67,30.66,7.01,155,1,31.24,37.28
160,25,45,1.86,12817.42,30.64,7.08,162,1,31.71,36.83
165,25,45,1.9,13601.64,30.58,7.02,170,1,31.79,37.23
170,25,45,2.13,14093.24,30.71,7.13,177,1,32.12,37.1
175,25,45,1.9,14613.51,30.82,7.03,185,1,32.14,37.07
180,25,45,2.17,14746.04,30.73,7.13,194,1,33.05,37.01
185,25,45,2.16,15318.04,30.76,7.04,202,1,32.4,37.8
190,25,45,2.14,15433.48,30.7,7.04,211,1,30.85,37.44
195,25,45,2.05,15782.57,30.74,6.97,220,1,31.9,37.52
200,25,45,1.82,16426.29,30.81,7.06,229,1,32.22,37.07
205,25,45,1.99,16856.69,30.81,7.1,239,1,33.16,37.06
210,25,45,2.15,16960.38,30.7,7.12,249,1,31.45,37.3
215,25,45,2.0,18317.55,30.99,7.08,260,1,33.32,37.87
220,25,45,1.81,18585.58,30.89,7.05,270,1,32.07,37.08
225,25,45,2.12,19059.6,31.03,7.13,281,1,33.51,38.18
230,25,45,2.04,19631.42,30.92,7.12,292,1,33.22,37.96
235,25,45,2.22,20455.69,31.03,7.11,304,1,32.68,37.59
240,25,45,1.99,20860.22,31.03,7.11,316,1,33.05,37.88
245,25,45,2.26,21632.79,31.33,7.01,328,1,33.25,38.11
250,25,45,2.34,22006.83,31.17,7.13,341,1,33.56,38.32
255,25,45,2.11,22560.16,30.99,7.03,354,1,33.42,38.42
260,25,45,1.9,23535.56,31.01,7.14,368,1,33.27,37.74
265,25,46,2.25,24036.44,31.18,7.09,381,1,33.96,38.45
270,25,46,2.27,24575.42,31.1,7.08,395,1,34.2,38.46
275,25,46,2.21,25573.46,31.39,7.14,410,1,34.26,39.18
280,25,46,2.1,26295.29,31.35,7.09,425,1,34.63,38.9
285,25,46,2.2,27197.8,31.3,7.12,440,1,34.65,38.99
290,25,46,2.16,27579.51,31.4,7.08,455,1,34.34,38.63
295,25,46,2.13,28636.96,31.35,7.04,471,1,34.54,39.06
300,25,46,2.27,28939.78,31.47,7.16,487,1,35.06,38.8
305,25,46,2.19,30270.58,31.61,7.16,504,1,34.4,39.97
310,25,46,2.36,30704.84,31.5,7.09,521,1,35.25,38.87
315,25,46,2.49,31808.6,31.65,7.15,538,1,35.29,39.24
320,25,47,2.07,32986.83,31.57,7.12,556,1,34.2,39.46
325,25,47,1.9,33630.03,31.63,7.1,574,1,35.37,39.72
330,25,47,2.23,34560.28,31.78,7.14,592,1,36.23,39.71
335,25,47,2.0,35790.66,31.7,7.16,611,1,36.47,39.83
340,25,47,2.13,36134.42,31.78,7.15,629,1,35.53,40.22
345,25,47,2.42,37187.18,31.89,7.17,649,1,37.34,40.18
350,25,48,2.25,38230.2,31.97,6.97,668,1,36.8,40.81
355,25,48,2.17,39177.84,31.86,7.15,688,1,36.65,40.58
360,25,48,2.26,40744.27,32.18,7.11,709,1,36.5,40.92
365,26,48,2.49,41191.13,31.98,7.1,729,1,36.61,41.17
370,26,48,2.56,42410.42,32.3,7.13,750,1,37.44,41.03
375,26,48,2.38,43218.45,32.25,7.12,771,1,38.5,40.98
380,26,49,2.64,44505.27,32.21,7.22,793,1,37.88,41.14
385,26,49,2.53,45694.73,32.31,7.15,814,1,38.56,41.69
390,26,49,2.66,46680.82,32.55,7.18,836,1,39.07,41.5
395,26,49,2.68,48104.08,32.38,7.17,859,1,39.05,41.95
400,26,50,2.44,49148.48,32.66,7.12,881,1,39.9,42.33
405,26,50,2.54,50645.74,32.57,7.29,904,1,38.76,42.37
410,26,50,2.9,51424.39,32.68,7.08,927,1,39.07,42.43
415,26,50,2.62,52941.98,32.53,7.23,950,1,39.4,42.86
420,26,51,2.6,53722.09,32.7,7.26,973,1,38.68,42.13
425,26,51,3.17,54915.38,32.68,7.22,996,1,40.55,42.86
430,26,51,2.76,56204.03,32.69,7.25,1020,1,40.94,42.99
435,26,52,2.83,57215.77,33.11,7.21,1044,1,40.54,43.31
440,27,52,2.52,58466.59,32.94,7.17,1068,1,39.85,43.3
445,27,52,2.69,59360.28,33.22,7.16,1092,1,41.63,43.45
450,27,53,2.87,60726.09,33.14,7.21,1116,1,40.56,43.19
455,27,53,2.77,62098.89,33.11,7.27,1140,1,41.25,43.71
460,27,53,2.74,63234.36,33.03,7.26,1164,1,41.47,44.06
465,27,54,2.74,64518.3,33.29,7.2,1188,1,41.8,44.38
470,27,54,2.96,65231.43,33.27,7.26,1213,1,41.7,44.27
475,27,54,3.17,66472.69,33.49,7.2,1237,1,42.15,43.96
480,27,55,3.11,68202.31,33.35,7.29,1261,1,42.21,44.87
485,27,55,3.09,68956.1,33.37,7.28,1285,1,42.22,45.64
490,28,56,3.39,69889.77,33.55,7.33,1309,1,44.3,45.38
495,28,56,3.23,71618.56,33.48,7.26,1333,1,43.08,45.17
500,28,56,3.61,72759.3,33.64,7.28,1357,1,43.93,45.73
505,28,57,3.41,74189.58,33.58,7.32,1381,1,43.66,44.61
510,28,57,3.77,75433.62,33.98,7.32,1405,1,43.69,45.44
